abs_path,rel_path,parent_folder,filename,ext,size_bytes,size_mb,mime_guess,is_dicom_candidate,is_video_candidate,is_image_candidate
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/00000001.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/00000001.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109,00000001.dcm,.dcm,2075688,1.98,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/00000002.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/00000002.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109,00000002.dcm,.dcm,2075686,1.98,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/00000003.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/00000003.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109,00000003.dcm,.dcm,2075688,1.98,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/00000004.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/00000004.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109,00000004.dcm,.dcm,2075688,1.98,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/00000005.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/00000005.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109,00000005.dcm,.dcm,610503970,582.222,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/00000006.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/00000006.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109,00000006.dcm,.dcm,956758450,912.436,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/00000007.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/00000007.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109,00000007.dcm,.dcm,153912732,146.783,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/00000008.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/00000008.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109,00000008.dcm,.dcm,196941446,187.818,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/00000009.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/00000009.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109,00000009.dcm,.dcm,94334532,89.964,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109,LICENSE,,2801,0.003,,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000001.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000001.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818,00000001.dcm,.dcm,2075688,1.98,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000002.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000002.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818,00000002.dcm,.dcm,2075688,1.98,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000003.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000003.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818,00000003.dcm,.dcm,428264758,408.425,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000004.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000004.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818,00000004.dcm,.dcm,2075688,1.98,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000005.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000005.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818,00000005.dcm,.dcm,965870398,921.126,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000006.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000006.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818,00000006.dcm,.dcm,175427084,167.3,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000007.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000007.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818,00000007.dcm,.dcm,375870988,358.459,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000008.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000008.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818,00000008.dcm,.dcm,487492498,464.909,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000009.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000009.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818,00000009.dcm,.dcm,332589178,317.182,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000010.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000010.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818,00000010.dcm,.dcm,158877580,151.517,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000011.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000011.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818,00000011.dcm,.dcm,2075686,1.98,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000012.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/00000012.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818,00000012.dcm,.dcm,439654708,419.287,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818,LICENSE,,2801,0.003,,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000001.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000001.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000001.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000002.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000002.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000002.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000003.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000003.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000003.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000004.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000004.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000004.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000005.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000005.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000005.dcm,.dcm,291585360,278.077,application/dicom,True,False,False
