relative_path,size_kb,suffix
data-manifests/dicom_manifest_clean_week2.csv,57.4,.csv
data-manifests/dicom_manifest_week2.csv,61.86,.csv
data-manifests/monai_items_week2.csv,22.07,.csv
data-manifests/non_image_excluded_week2.csv,4.61,.csv
data-manifests/paired_cases.csv,0.77,.csv
data-manifests/pairing_candidates_week2.csv,55.38,.csv
data-manifests/qc_metrics_week2.csv,50.59,.csv
data-manifests/raw_file_index_week2.csv,29.81,.csv
data-manifests/sample_download_log_week2.csv,8.78,.csv
data-manifests/selected_batch_series_week2.csv,5.73,.csv
data-manifests/split_manual_audit_week2.csv,22.58,.csv
data-manifests/split_validation_week2.csv,86.05,.csv
data-manifests/tcia_series_manifest_week2.csv,54.57,.csv
data-manifests/temporal_clip_manifest_week2.csv,9.82,.csv
exports/github_package_inventory.csv,5.32,.csv
exports/monai_dataset_week2.json,40.68,.json
exports/tcia_series_manifest_week2_report.json,0.93,.json
exports/validation_report_week2.json,1.62,.json
exports/week2_day1_summary.json,0.72,.json
exports/week2_day2_summary.json,0.63,.json
exports/week2_day3_summary.json,0.95,.json
exports/week2_day4_summary.json,1.15,.json
exports/week2_day5_summary.json,1.08,.json
notebooks/README.md,0.17,.md
qc/pairing_examples/LiverUS-102__W2PAIR_0003__pairing_qc.png,181.91,.png
qc/pairing_examples/LiverUS-106__W2PAIR_0008__pairing_qc.png,161.95,.png
qc/pairing_examples/LiverUS-107__W2PAIR_0013__pairing_qc.png,200.26,.png
qc/pairing_examples/LiverUS-110__W2PAIR_0016__pairing_qc.png,208.96,.png
qc/pairing_examples/LiverUS-118__W2PAIR_0022__pairing_qc.png,107.85,.png
qc/pairing_examples/LiverUS-63__W2PAIR_0029__pairing_qc.png,122.91,.png
qc/pairing_examples/LiverUS-73__W2PAIR_0038__pairing_qc.png,223.57,.png
qc/pairing_examples/LiverUS-76__W2PAIR_0053__pairing_qc.png,143.52,.png
qc/pairing_examples/LiverUS-84__W2PAIR_0058__pairing_qc.png,204.55,.png
qc/pairing_examples/LiverUS-86__W2PAIR_0072__pairing_qc.png,286.38,.png
qc/patient_contact_sheets/LiverUS-102_contact_sheet.png,186.9,.png
qc/patient_contact_sheets/LiverUS-106_contact_sheet.png,83.83,.png
qc/patient_contact_sheets/LiverUS-107_contact_sheet.png,77.92,.png
qc/patient_contact_sheets/LiverUS-110_contact_sheet.png,197.98,.png
qc/patient_contact_sheets/LiverUS-118_contact_sheet.png,160.29,.png
qc/patient_contact_sheets/LiverUS-63_contact_sheet.png,184.26,.png
qc/patient_contact_sheets/LiverUS-73_contact_sheet.png,223.83,.png
qc/patient_contact_sheets/LiverUS-76_contact_sheet.png,303.64,.png
qc/patient_contact_sheets/LiverUS-84_contact_sheet.png,312.01,.png
qc/patient_contact_sheets/LiverUS-86_contact_sheet.png,521.55,.png
qc/split_audit_contact_sheet/day4_split_audit_contact_sheet.png,486.67,.png
qc/split_audit_examples/AUDIT_001__LiverUS-118__1.3.6.1.4.1.14519.5.2.1.1188.2803.162204071602572566360146655435__annotated.png,198.61,.png
qc/split_audit_examples/AUDIT_002__LiverUS-76__1.3.6.1.4.1.14519.5.2.1.1188.2803.908001251556266698713160573550__annotated.png,349.77,.png
qc/split_audit_examples/AUDIT_003__LiverUS-118__1.3.6.1.4.1.14519.5.2.1.1188.2803.182437475530060176343168315115__annotated.png,195.16,.png
qc/split_audit_examples/AUDIT_004__LiverUS-118__1.3.6.1.4.1.14519.5.2.1.1188.2803.115983880429854003610588808815__annotated.png,223.0,.png
qc/split_audit_examples/AUDIT_005__LiverUS-118__1.3.6.1.4.1.14519.5.2.1.1188.2803.488139736088450151586896154822__annotated.png,187.66,.png
qc/split_audit_examples/AUDIT_006__LiverUS-73__1.3.6.1.4.1.14519.5.2.1.1188.2803.319681681194089319031151200058__annotated.png,225.94,.png
qc/split_audit_examples/AUDIT_007__LiverUS-86__1.3.6.1.4.1.14519.5.2.1.1188.2803.145514555617612497017362733603__annotated.png,608.27,.png
qc/split_audit_examples/AUDIT_008__LiverUS-86__1.3.6.1.4.1.14519.5.2.1.1188.2803.261227840917799705133682731824__annotated.png,590.3,.png
qc/split_audit_examples/AUDIT_009__LiverUS-84__1.3.6.1.4.1.14519.5.2.1.1188.2803.263455779661540720751355306465__annotated.png,566.58,.png
qc/split_audit_examples/AUDIT_010__LiverUS-86__1.3.6.1.4.1.14519.5.2.1.1188.2803.172432838596685769721057432952__annotated.png,276.96,.png
qc/split_audit_examples/AUDIT_011__LiverUS-86__1.3.6.1.4.1.14519.5.2.1.1188.2803.950280477814037439455301854932__annotated.png,619.37,.png
qc/split_audit_examples/AUDIT_012__LiverUS-107__1.3.6.1.4.1.14519.5.2.1.1188.2803.257112558031668676307949982706__annotated.png,414.17,.png
qc/split_audit_examples/AUDIT_013__LiverUS-107__1.3.6.1.4.1.14519.5.2.1.1188.2803.170606117732393633701989208437__annotated.png,417.03,.png
qc/split_audit_examples/AUDIT_014__LiverUS-76__1.3.6.1.4.1.14519.5.2.1.1188.2803.192509664697680703314456766223__annotated.png,564.91,.png
qc/split_audit_examples/AUDIT_015__LiverUS-102__1.3.6.1.4.1.14519.5.2.1.1188.2803.466338216990689470528496796610__annotated.png,468.13,.png
qc/split_audit_examples/AUDIT_016__LiverUS-86__1.3.6.1.4.1.14519.5.2.1.1188.2803.323242708790647045468471701326__annotated.png,281.73,.png
qc/split_audit_examples/AUDIT_017__LiverUS-118__1.3.6.1.4.1.14519.5.2.1.1188.2803.876311479981824246819105328846__annotated.png,318.75,.png
qc/split_audit_examples/AUDIT_018__LiverUS-86__1.3.6.1.4.1.14519.5.2.1.1188.2803.109193203538084063188332306185__annotated.png,611.09,.png
