item_id,pair_id,PatientID,dataset_split,augmentation_status,augmentation_index,panel_a_path,panel_b_path,source_pair_id,is_augmented
W2PAIR_0001__original,W2PAIR_0001,LiverUS-102,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0001,False
W2PAIR_0002__original,W2PAIR_0002,LiverUS-102,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0002,False
W2PAIR_0003__original,W2PAIR_0003,LiverUS-102,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0003,False
W2PAIR_0004__original,W2PAIR_0004,LiverUS-102,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0004,False
W2PAIR_0005__original,W2PAIR_0005,LiverUS-102,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0005,False
W2PAIR_0006__original,W2PAIR_0006,LiverUS-102,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0006,False
W2PAIR_0007__original,W2PAIR_0007,LiverUS-102,train,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0007,False
W2PAIR_0008__original,W2PAIR_0008,LiverUS-106,test,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0008,False
W2PAIR_0009__original,W2PAIR_0009,LiverUS-106,test,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0009,False
W2PAIR_0010__original,W2PAIR_0010,LiverUS-106,test,original,0,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_a_preprocessed.png,/kaggle/input/datasets/omneyasaeid/week3-full-outputs-for-week4-zip/project_rooting_week3/derived/preprocessed_pairs/val/LiverUS-86/W2PAIR_0069/panel_b_preprocessed.png,W2PAIR_0010,False
